Filename,Title,Cart Type,Mapper Type,ROM Banks,RAM Banks,RAM Size,ROM Size,Battery,Timer,Rumble,Sensor,Licensee,Old Licensee Code,CGB Functionality,SGB Functionality,Mask ROM Ver,Region,Weird
Nintama Rantarou GB - Eawase Challenge Puzzle (Japan) (SGB Enhanced).gb,NINTAMA EAWASE,MBC1,MBC1,32,0,0x0,0x80000,False,False,False,False,"UNKNOWN(b'BA',BA)",False,None,True,0,Japan,True
"Bugs Bunny Crazy Castle, The (USA, Europe).gb",BUGS BUNNY,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,Kemco,True,None,False,0,Non-Japan (0x1),False
"Kwirk - He's A-maze-ing! (USA, Europe).gb",KWIRK,ROM ONLY,ROM ONLY,2,0,0x0,0x8000,False,False,False,False,Acclaim,True,None,False,0,Non-Japan (0x1),False
Space Invaders (USA) (SGB Enhanced).gb,SPACE INVADERS,MBC1,MBC1,32,0,0x0,0x80000,False,False,False,False,Nintendo R&D1,False,None,True,0,Non-Japan (0x1),False
Goukaku Boy Series - Nihonshi Target 201 (Japan).gb,NIHONSHI 201 GB,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,"UNKNOWN(b'9C',9C)",False,None,False,0,Japan,True
Deer Hunter (USA).gbc,DEER HUNTERAXHE,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,"UNKNOWN(b'5P',5P)",False,CGB Only,False,0,Non-Japan (0x1),True
Wizardry Gaiden 2 - Kodai Koutei no Noroi (Japan).gb,WIZARDRY CAE,MBC1+RAM+Battery,MBC1,16,1,0x800,0x40000,True,False,False,False,ascii or nexoft,True,None,False,0,Japan,False
TNN Outdoors Fishing Champ (USA) (SGB Enhanced) (GB Compatible).gbc,TNN FISHINGAFCE,MBC5+RAM+Battery,MBC5,64,1,0x800,0x100000,True,False,False,False,"UNKNOWN(b'5F',5F)",False,Extra CGB Functions,True,0,Non-Japan (0x1),True
"WWF War Zone (USA, Europe).gb",WWF: WARZONE,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,Acclaim,False,None,False,0,Non-Japan (0x1),False
Game Genie (USA) (v2.1) (Unl).gb,,ROM ONLY,ROM ONLY,2,0,0x0,0x8000,False,False,False,False,None,True,None,False,0,Japan,False
Daffy Duck - Fowl Play (USA).gbc,DAFFYDACKFPAD7E,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,Sunsoft,False,Extra CGB Functions,False,0,Non-Japan (0x1),False
Altered Space - A 3-D Alien Adventure (USA).gb,ALTERED SPACE,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Sony Imagesoft,True,None,False,0,Non-Japan (0x1),False
Tetris DX (USA) (SGB Enhanced).gbc,TETRIS DX,MBC1+RAM+Battery,MBC1,32,1,0x800,0x80000,True,False,False,False,Nintendo R&D1,False,Extra CGB Functions,True,0,Japan,False
"Prophecy - The Viking Child (Europe) (En,Fr,De,Es,It).gb",VIKING CHILD 1,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,Gametek,True,None,False,0,Non-Japan (0x1),False
Disney-Pixar Toy Story Racer (USA).gbc,TOYSTORYRABT5E,MBC5,MBC5,128,0,0x0,0x200000,False,False,False,False,Activision,False,CGB Only,False,0,Non-Japan (0x1),False
