Filename,Title,Cart Type,Mapper Type,ROM Banks,RAM Banks,RAM Size,ROM Size,Battery,Timer,Rumble,Sensor,Licensee,Old Licensee Code,CGB Functionality,SGB Functionality,Mask ROM Ver,Region,Weird
Dr. Mario (World) (Rev A).gb,DR.MARIO,ROM ONLY,ROM ONLY,2,0,0x0,0x8000,False,False,False,False,Nintendo,True,None,False,1,Japan,False
"Taikyoku Renju (Japan) (En,Ja).gb",TAIKYOKU RENJU,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,Towachiki,True,None,False,0,Japan,False
Catz (USA).gbc,CATZ       AZCE,MBC5+RAM+Battery,MBC5,64,1,0x800,0x100000,True,False,False,False,Mindscape,False,CGB Only,False,0,Non-Japan (0x1),False
Agro Soar (Australia).gb,AGRO SOAR,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Laser Beam Entertainment,True,None,False,0,Non-Japan (0x1),False
Pachi-Slot Hisshou Guide GB (Japan) (SGB Enhanced).gb,PACHISLO GB,MBC2+Battery,MBC2,8,1,0x100,0x20000,True,False,False,False,Konami,False,None,True,0,Japan,False
Dragon Slayer - Nemuri no Oukan (Japan).gb,DORASUREGAIDEN,MBC2+Battery,MBC2,8,1,0x100,0x20000,True,False,False,False,Epoch,True,None,False,0,Japan,False
"John Romero's Daikatana (Europe) (Fr,De,Es).gbc",DAIKATANAA22Y,MBC5+RAM+Battery,MBC5,64,1,0x800,0x100000,True,False,False,False,Kemco,False,CGB Only,False,0,Non-Japan (0x1),False
"New Adventures of Mary-Kate & Ashley, The (USA, Europe) (GB Compatible).gbc",THE NEW ADVAXFE,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,Acclaim,False,Extra CGB Functions,False,0,Non-Japan (0x1),False
"King of Fighters '95, The (USA) (SGB Enhanced).gb",NETTOU KOF 95,MBC1,MBC1,32,0,0x0,0x80000,False,False,False,False,Nintendo R&D1,False,None,True,0,Non-Japan (0x1),False
Mogura de Pon! (Japan).gb,MOGURA DE PON!,ROM ONLY,ROM ONLY,2,0,0x0,0x8000,False,False,False,False,Athena,True,None,False,0,Japan,False
Maru's Mission (USA).gb,MARU'S MISSION,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Jaleco,True,None,False,0,Non-Japan (0x1),False
"WDL - World Destruction League - Thunder Tanks (USA) (En,Fr,De).gbc",WDL:TTBBTE,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,"UNKNOWN(b'5H',5H)",False,CGB Only,False,0,Non-Japan (0x1),True
"Powerpuff Girls, The - Paint the Townsville Green (USA) (Rev 2).gbc",PPGBUTRCUPBPTE,MBC5,MBC5,128,0,0x0,0x200000,False,False,False,False,Bay Area Multimedia (BAM) Entertainment,False,CGB Only,False,2,Non-Japan (0x1),False
After Burst (Japan).gb,AFTER BURST,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,NCS,True,None,False,0,Japan,False
"Three Lions (United Kingdom) (En,Fr,De,Es,It,Nl,Sv) (GB Compatible).gbc",THREE LIONSAAFP,MBC5+RAM+Battery,MBC5,64,1,0x800,0x100000,True,False,False,False,Konami,False,Extra CGB Functions,False,0,Non-Japan (0x1),False
"Fastest Lap (Japan, USA).gb",FASTEST LAP,MBC2+Battery,MBC2,8,1,0x100,0x20000,True,False,False,False,Vap,True,None,False,0,Japan,False
Power Spike - Pro Beach Volleyball (USA).gbc,POWERSPIKEBVBE,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,Infogrames,False,CGB Only,False,0,Non-Japan (0x1),False
"Rox (USA, Europe) (GB Compatible).gbc",ROXARXE,MBC5,MBC5,16,0,0x0,0x40000,False,False,False,False,Titus,False,Extra CGB Functions,False,0,Non-Japan (0x1),False
"Quest for Camelot (USA) (En,Fr,Es) (SGB Enhanced) (GB Compatible).gbc",QUESTFORCAMELOT,MBC5+RAM+Battery,MBC5,64,1,0x800,0x100000,True,False,False,False,Nintendo R&D1,False,Extra CGB Functions,True,0,Non-Japan (0x1),False
Bionic Commando (USA).gb,BIONIC-COMMANDO,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,Capcom,True,None,False,0,Non-Japan (0x1),False
"NFL Blitz (USA, Europe) (Rev 1) (GB Compatible).gbc",NFL BLITZ,MBC5,MBC5,32,0,0x0,0x80000,False,False,False,False,"UNKNOWN(b'5D',5D)",False,Extra CGB Functions,False,1,Non-Japan (0x1),True
Super Mario Bros. Deluxe (USA) (Rev-B).gbc,MARIO DELUXAHYE,MBC5+RAM+Battery,MBC5,64,1,0x800,0x100000,True,False,False,False,Nintendo R&D1,False,CGB Only,False,2,Non-Japan (0x1),False
BurgerTime Deluxe (World).gb,BURGER TIME,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,Data East,True,None,False,0,Japan,False
"Marble Madness (USA, Europe).gb",MARBLE MADNESS,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,Mindscape,True,None,False,0,Non-Japan (0x1),False
Minolta Camera Test Cart 2420 (USA).gb,,ROM ONLY,ROM ONLY,2,0,0x0,0x8000,False,False,False,False,None,True,None,False,0,Japan,False
"Star Wars (USA, Europe) (Rev A).gb",STAR WARS-NOA,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Nintendo,True,None,False,1,Non-Japan (0x1),False
Spiritual Warfare (USA) (Unl).gb,,ROM ONLY,ROM ONLY,2,0,0x0,0x8000,False,False,False,False,None,True,None,False,0,Japan,False
Madden NFL 2001 (USA).gbc,MADDEN 2001BNFE,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,Electronic Arts,False,CGB Only,False,0,Non-Japan (0x1),False
Goukaku Boy Series - 99 Nendo Ban Eitango Center 1500 (Japan).gb,EITANGO SENTA,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,"UNKNOWN(b'9C',9C)",False,None,False,0,Japan,True
"4 in 1 (Europe) (4B-005, Sachen-Commin) (Unl).gb",gOT,MBC1,MBC1,16384,0,0x0,0x10000000,False,False,False,False,Malibu,True,None,False,115,Non-Japan (0x89),True
Looney Tunes - Twouble! (USA).gbc,SYLVESTER,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,Infogrames,False,Extra CGB Functions,False,0,Non-Japan (0x1),False
"F-18 Thunder Strike (USA, Europe).gbc",F18 THUNDERB18E,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,Majesco,False,CGB Only,False,0,Non-Japan (0x1),False
Hamtaro - Ham-Hams Unite! (USA).gbc,HAMUTARO2B86E,MBC5+RAM+Battery,MBC5,128,1,0x800,0x200000,True,False,False,False,Nintendo R&D1,False,CGB Only,False,0,Non-Japan (0x1),False
Namco Gallery Vol.3 (Japan) (SGB Enhanced).gb,GALLERY3,MBC1,MBC1,32,0,0x0,0x80000,False,False,False,False,"UNKNOWN(b'AF',AF)",False,None,True,0,Japan,True
Disney's The Lion King - Simba's Mighty Adventure (USA).gbc,LIONKINGSMABLKE,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,Activision,False,CGB Only,False,0,Non-Japan (0x1),False
Nettou Samurai Spirits - Zankurou Musouken (Japan) (SGB Enhanced).gb,ZANKUROUMUSOUKEN,MBC1,MBC1,64,0,0x0,0x100000,False,False,False,False,"UNKNOWN(b'A7',A7)",False,None,True,0,Japan,True
"Arcade Classics - Battlezone & Super Breakout (USA, Europe) (SGB Enhanced).gb",BZONE SBREAKOUT,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,"UNKNOWN(b'4S',4S)",False,None,True,0,Non-Japan (0x1),True
Goukaku Boy Series - Shikakui Atama o Maruku Suru - Rika Battle Hen (Japan) (Special Edition).gb,SIKAKU RIKABH4J,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,"UNKNOWN(b'0Q',0Q)",False,None,False,0,Japan,True
Itsudemo! Nyan to Wonderful (Japan) (SGB Enhanced).gb,NYANTOWONDERFUL,MBC3+RAM+Timer+Battery,MBC3,16,1,0x800,0x40000,True,True,False,False,"UNKNOWN(b'D9',D9)",False,None,True,0,Japan,True
"Swamp Thing (USA, Europe).gb",SWAMP THING,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,THQ,True,None,False,0,Non-Japan (0x1),False
Star Wars - The Empire Strikes Back (USA).gb,EMPIRE STRIKES,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Capcom,True,None,False,0,Non-Japan (0x1),False
"Shaoling Legend - Hero, the Saver (Taiwan) (En) (Unl).gbc",SHAO-LIN  C    ,MBC5+RAM+Battery,MBC5,128,0,0x0,0x200000,True,False,False,False,Nintendo R&D1,False,Extra CGB Functions,False,0,Japan,False
Mystic Quest (Germany).gb,MYSTIC QUEST,MBC2+Battery,MBC2,16,1,0x100,0x40000,True,False,False,False,Nintendo,True,None,False,0,Non-Japan (0x1),False
Rockman World (Japan).gb,ROCKMAN WORLD,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,Capcom,True,None,False,0,Japan,False
Alien 3 (Japan).gb,ALIEN,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,LJN,True,None,False,0,Japan,False
"Carl Lewis Athletics 2000 (Europe) (En,Fr,De,Es,It,Nl) (Beta).gbc",ATHLETISMEERIC,MBC5+RAM+Battery,MBC5,64,1,0x800,0x100000,True,False,False,False,UbiSoft,False,CGB Only,False,0,Non-Japan (0x1),False
Uchiiwai - Kyoudaijingi no Puzzle Game (Japan).gb,KYOUDAI JINGI,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,"UNKNOWN(b'9C',9C)",False,None,False,0,Japan,True
Dead Heat Scramble (Japan).gb,DEADHEATSCRAMBLE,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,Copya Aystems,True,None,False,0,Japan,False
Mahjong Quest (Japan) (SGB Enhanced) (GB Compatible).gbc,MAHJONG QUEST,MBC5+RAM+Battery,MBC5,64,1,0x800,0x100000,True,False,False,False,"UNKNOWN(b'AH',AH)",False,Extra CGB Functions,True,0,Japan,True
Banishing Racer (Japan).gb,BANISHING RACER,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Jaleco,True,None,False,0,Japan,False
Stop That Roach! (USA).gb,STOP THAT ROACH,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Koei,True,None,False,0,Non-Japan (0x1),False
Mini 4 Boy (Japan) (SGB Enhanced).gb,MINI4BOY,MBC1+RAM+Battery,MBC1,32,1,0x800,0x80000,True,False,False,False,"UNKNOWN(b'AH',AH)",False,None,True,0,Japan,True
"007 - The World Is Not Enough (USA, Europe).gbc",TWINE CGBBO7E,MBC5,MBC5,128,0,0x0,0x200000,False,False,False,False,Electronic Arts,False,CGB Only,False,0,Non-Japan (0x1),False
Kaitei Densetsu!! Treasure World (Japan) (GB Compatible).gbc,TREASUREHUNBDTJ,MBC5+RAM+Battery,MBC5,64,1,0x800,0x100000,True,False,False,False,"UNKNOWN(b'1N',1N)",False,Extra CGB Functions,False,0,Japan,True
Taz-Mania 2 (USA).gb,TAZMANIA,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,THQ,False,None,False,0,Non-Japan (0x1),False
"Wizards & Warriors Chapter X - The Fortress of Fear (USA, Europe).gb",WIZARDS WARRIORS,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,Acclaim,True,None,False,0,Non-Japan (0x1),False
Wedding Peach - Jamapii Panic (Japan) (SGB Enhanced).gb,WPGB,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,KSS,False,None,True,0,Japan,False
"Powerpuff Girls, The - Paint the Townsville Green (USA) (Rev 1).gbc",PPGBUTRCUPBPTE,MBC5+RAM+Battery,MBC5,128,1,0x800,0x200000,True,False,False,False,Bay Area Multimedia (BAM) Entertainment,False,CGB Only,False,1,Non-Japan (0x1),False
Desert Strike - Return to the Gulf (Europe) (SGB Enhanced).gb,DESERT STRIKE,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,Ocean,False,None,True,0,Non-Japan (0x1),False
Star Sweep (Japan) (SGB Enhanced).gb,STAR SWEEP,MBC1+RAM+Battery,MBC1,16,1,0x800,0x40000,True,False,False,False,"UNKNOWN(b'CK',CK)",False,None,True,0,Japan,True
Trip World (Europe).gb,TRIP WORLD,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,Sunsoft,True,None,False,0,Non-Japan (0x1),False
Dracula Densetsu II (Japan).gb,DRACURA2,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Konami,True,None,False,0,Japan,False
Sports Collection (Japan).gb,SPORTS COLLECT,MBC1,MBC1,32,0,0x0,0x80000,False,False,False,False,"UNKNOWN(b'C6',C6)",False,None,False,0,Japan,True
Masakari Densetsu - Kintarou Action Hen (Japan).gb,KINTARO ACG,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,Tonkin house,True,None,False,0,Japan,False
Star Trek - The Next Generation (Spain).gb,STAR TREK,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Absolute,True,None,False,0,Non-Japan (0x1),False
"4 in 1 (Europe) (4B-004, Sachen-Commin) (Unl).gb",gOT,MBC1,MBC1,16384,0,0x0,0x10000000,False,False,False,False,Malibu,True,None,False,115,Non-Japan (0x89),True
"Monsters, Inc. (Europe) (En,Es,Nl).gbc",MONSTERSINCB4QX,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,THQ,False,CGB Only,False,0,Non-Japan (0x1),False
Battle Arena Toshinden (USA) (SGB Enhanced).gb,BA.TOSHINDEN,MBC1,MBC1,32,0,0x0,0x80000,False,False,False,False,Nintendo R&D1,False,None,True,0,Non-Japan (0x1),False
Resident Evil Gaiden (USA).gbc,RES EVIL GDARHE,MBC5+RAM+Battery,MBC5,128,1,0x800,0x200000,True,False,False,False,Capcom,False,CGB Only,False,0,Non-Japan (0x1),False
Mail Junkies World Port (United Kingdom) (v1.01) (Unl).gbc, GBMail        ,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,"UNKNOWN(b'\x00\x00',)",False,Extra CGB Functions,False,0,Non-Japan (0x1),True
Pocket Monsters - Pikachu (Japan) (Rev 2) (SGB Enhanced).gb,POKEMON YELLOW,MBC3+RAM+Battery,MBC3,64,4,0x4000,0x100000,True,False,False,False,Nintendo R&D1,False,None,True,2,Japan,False
Crayon Shin-chan 4 - Ora no Itazura Daihenshin (Japan) (SGB Enhanced).gb,GB KUREYON SHIN4,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,"UNKNOWN(b'B2',B2)",False,None,True,0,Japan,True
Harvest Moon 3 GBC (USA).gbc,H-MOON3 CGBBWAE,MBC5+RAM+Battery,MBC5,128,4,0x4000,0x200000,True,False,False,False,Victor Interactive Software,False,CGB Only,False,0,Non-Japan (0x1),False
Hoi Hoi - Game Boy Ban (Japan).gb,HOIHOI DMG BAN,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Koei,True,None,False,0,Japan,False
"Knockout Kings (USA, Europe).gbc",KOKINGS    AXKE,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,Electronic Arts,False,CGB Only,False,0,Non-Japan (0x1),False
"Lost World, The - Jurassic Park (USA, Europe) (SGB Enhanced).gb",LOST WORLD,MBC1,MBC1,32,0,0x0,0x80000,False,False,False,False,THQ,False,None,True,0,Non-Japan (0x1),False
"Spider-Man 2 (USA, Europe).gb",SPIDER-MAN 2,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,LJN,True,None,False,0,Non-Japan (0x1),False
Tiny Toon Adventures 2 (Japan).gb,TINY TOON 2,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Konami,True,None,False,0,Japan,False
Super Breakout! (USA).gbc,SUPER BREAKOUT,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,Majesco,False,Extra CGB Functions,False,0,Non-Japan (0x1),False
Bakuretsu Senshi Warrior (Japan).gb,WARRIOR,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,Epoch,True,None,False,0,Japan,False
Puzzle Nintama Rantarou (Japan) (SGB Enhanced).gb,NINTAMA PUZZLEGB,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,"UNKNOWN(b'BA',BA)",False,None,True,0,Japan,True
NASCAR Heat (USA).gbc,NASCAR HEATBNHE,MBC5+RAM+Battery,MBC5,64,1,0x800,0x100000,True,False,False,False,Hasbro Interactive,False,CGB Only,False,0,Non-Japan (0x1),False
Teenage Mutant Ninja Turtles (Japan).gb,TMNT,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Konami,True,None,False,0,Japan,False
GB Basketball (Japan).gb,GB BASKETBALL,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Imagineer,True,None,False,0,Japan,False
Kachiuma Yosou Keiba Kizoku EX '94 (Japan).gb,KEIBAKIZOKU EX94,MBC1+RAM+Battery,MBC1,8,1,0x800,0x20000,True,False,False,False,"UNKNOWN(b'EA',EA)",False,None,False,0,Japan,True
"Spider-Man 3 - Invasion of the Spider-Slayers (USA, Europe).gb",SPIDER-MAN 3 DMG,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,LJN,True,None,False,0,Non-Japan (0x1),False
David Crane's The Rescue of Princess Blobette Starring A Boy and His Blob (USA).gb,BOY AND BLOB GB1,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,Absolute,True,None,False,0,Non-Japan (0x1),False
Super Mario Land 2 - 6-tsu no Kinka (Japan).gb,MARIOLAND2,MBC1+RAM+Battery,MBC1,32,1,0x800,0x80000,True,False,False,False,Nintendo,True,None,False,0,Japan,False
America Oudan Ultra Quiz Part 4 (Japan).gb,ULTRA-4,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,Tomy,True,None,False,0,Japan,False
"Monopoly (Europe) (En,Fr,De).gb",EUROMONOPOLY,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,Konami,False,None,False,0,Non-Japan (0x1),False
"International Superstar Soccer (USA, Europe) (SGB Enhanced).gb",ISS,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,Konami,False,None,True,0,Non-Japan (0x1),False
Xtreme Wheels (USA).gbc,XTREMEWHEELBXCE,MBC5+RAM+Battery,MBC5,64,1,0x800,0x100000,True,False,False,False,Bay Area Multimedia (BAM) Entertainment,False,CGB Only,False,0,Non-Japan (0x1),False
Donkey Kong (World) (Rev A) (SGB Enhanced).gb,DONKEY KONG,MBC1+RAM+Battery,MBC1,32,1,0x800,0x80000,True,False,False,False,Nintendo R&D1,False,None,True,1,Japan,False
Hello Kitty no Happy House (Japan).gbc,HKITTY_HHBK7J,MBC5+RAM+Battery,MBC5,256,4,0x4000,0x400000,True,False,False,False,"UNKNOWN(b'BL',BL)",False,CGB Only,False,0,Japan,True
Pocket Puyo Puyo-n (Japan) (Rev 2).gbc,POCKETPUYO4BPYJ,MBC5+RAM+Battery,MBC5,64,1,0x800,0x100000,True,False,False,False,"UNKNOWN(b'BJ',BJ)",False,CGB Only,False,2,Japan,True
Kanji Shishuu (Japan) (Proto).gbc,KANJI-1BKBJ,MBC5+RAM+Battery,MBC5,512,4,0x4000,0x800000,True,False,False,False,"UNKNOWN(b'9M',9M)",False,CGB Only,False,0,Japan,True
TwinBee da!! (Japan).gb,TWIN-BEE DA!!,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Konami,True,None,False,0,Japan,False
"Mary-Kate & Ashley - Get a Clue! (USA, Europe) (GB Compatible).gbc",GET A CLUEBXFE,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,Acclaim,False,Extra CGB Functions,False,0,Non-Japan (0x1),False
Baseball Kids (Japan).gb,BASE BALL KIDS,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Jaleco,True,None,False,0,Japan,False
Shippuu! Iron Leaguer (Japan).gb,GB IRON LEAGUER1,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Bandai,True,None,False,0,Japan,False
"Mask of Zorro, The (USA).gbc",MASK OF ZORAZRE,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,Sunsoft,False,Extra CGB Functions,False,0,Non-Japan (0x1),False
Gold and Glory - The Road to El Dorado (USA).gbc,EL DORADOBEDE,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,UbiSoft,False,CGB Only,False,0,Non-Japan (0x1),False
Santa Claus Junior (Europe).gbc,SANTA CLAUSB3JP,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,"UNKNOWN(b'6V',6V)",False,CGB Only,False,0,Non-Japan (0x1),True
Pac-Man (Japan).gb,PAC-MAN,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,Namco,True,None,False,0,Japan,False
Masakari Densetsu - Kintarou RPG Hen (Japan) (SGB Enhanced).gb,KINTARO RPG,MBC1+RAM+Battery,MBC1,32,1,0x800,0x80000,True,False,False,False,"UNKNOWN(b'C6',C6)",False,None,True,0,Japan,True
Shuyaku Sentai Irem Fighter (Japan).gb,IREM FIGHTER,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,IREM,True,None,False,0,Japan,False
Twin (Japan).gb,TWIN,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Athena,True,None,False,0,Japan,False
Bishoujo Senshi Sailor Moon (Japan).gb,BISHOJYOSENSI SE,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Angel,True,None,False,0,Japan,False
Quest - Fantasy Challenge (USA) (SGB Enhanced) (GB Compatible).gbc,QUEST FANTASY  ,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,Sunsoft,False,Extra CGB Functions,True,0,Non-Japan (0x1),False
"Tiny Toon Adventures 2 - Montana's Movie Madness (USA, Europe).gb",TINY TOON 2 MMM,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Konami,True,None,False,0,Non-Japan (0x1),False
Atomic Punk (USA).gb,ATOMIC PUNK,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Hudsonsoft,True,None,False,0,Non-Japan (0x1),False
"Vegas Stakes (USA, Europe) (SGB Enhanced).gb",VEGAS STAKES,MBC1+RAM+Battery,MBC1,32,1,0x800,0x80000,True,False,False,False,Nintendo R&D1,False,None,True,0,Non-Japan (0x1),False
Super Street Basketball (Japan).gb,S S BASKETBALL,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Vap,True,None,False,0,Japan,False
"Double Dragon II (USA, Europe).gb",DOUBLE DRAGON 2,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Acclaim,True,None,False,0,Non-Japan (0x1),False
Monster Maker 2 - Uru no Hiken (Japan).gb,MONSTER MAKER J2,MBC1+RAM+Battery,MBC1,16,1,0x800,0x40000,True,False,False,False,Sofel,True,None,False,0,Japan,False
Skycon (World) (Aftermarket) (Homebrew).gbc,SKYCON,MBC5+RAM+Battery,MBC5,32,4,0x4000,0x80000,True,False,False,False,none,False,CGB Only,False,1,Japan,False
Golf Classic (Europe) (SGB Enhanced).gb,GOLF CLASSIC,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,Nintendo,False,None,True,0,Non-Japan (0x1),False
3-pun Yosou - Umaban Club (Japan).gb,UMABAN CLUB,MBC2+Battery,MBC2,4,1,0x100,0x10000,True,False,False,False,Hector,True,None,False,0,Japan,False
Test Drive 6 (USA) (Rev 1) (Proto).gbc,TEST DRIVE6AW6E,MBC5+RAM+Battery,MBC5,64,1,0x800,0x100000,True,False,False,False,Infogrames,False,Extra CGB Functions,False,1,Non-Japan (0x1),False
LEGO Racers (USA).gbc,LEGO RACERSBLRE,MBC5+RAM+Battery,MBC5,64,1,0x800,0x100000,True,False,False,False,Lego,False,CGB Only,False,0,Non-Japan (0x1),False
Taito Chase H.Q. (Japan).gb,CHASE HQ,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Taito,True,None,False,0,Japan,False
Solitaire (Japan).gb,SOLITAIRE       ,MBC2+Battery,MBC2,4,1,0x100,0x10000,True,False,False,False,Hector,True,None,False,0,Japan,False
Totsugeki! Papparatai (Japan) (SGB Enhanced) (GB Compatible).gbc,PAPPARAAPHJ,MBC5+RAM+Battery,MBC5,256,1,0x800,0x400000,True,False,False,False,"UNKNOWN(b'AH',AH)",False,Extra CGB Functions,True,0,Japan,True
"Punisher, The - The Ultimate Payback (USA).gb",THE PUNISHER,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,LJN,True,None,False,0,Non-Japan (0x1),False
"Bubble Bobble (USA, Europe).gb",BUBBLE BOBBLE,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Taito,True,None,False,0,Non-Japan (0x1),False
Konamic Golf (Japan).gb,KONAMIC GOLF,MBC2+Battery,MBC2,8,1,0x100,0x20000,True,False,False,False,Ultra,True,None,False,0,Japan,False
International Superstar Soccer 99 (USA) (SGB Enhanced).gbc,ISS99AWZE,MBC5+RAM+Battery,MBC5,64,1,0x800,0x100000,True,False,False,False,Konami,False,Extra CGB Functions,True,0,Non-Japan (0x1),False
Grand Theft Auto 2 (USA).gbc,GTA 2BGAE,MBC5,MBC5,128,0,0x0,0x200000,False,False,False,False,Konami,False,CGB Only,False,0,Non-Japan (0x1),False
Game Boy Digital Sampling Oscilloscope (Europe) (v3.6) (GBDSO) (Unl).gb,TEMP,ROM ONLY,ROM ONLY,2,0,0x0,0x8000,False,False,False,False,None,True,None,False,1,Japan,False
"Lamborghini American Challenge (USA, Europe).gb",LAMBORGHINI,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Titus,True,None,False,0,Non-Japan (0x1),False
"4 in 1 + 8 in 1 (World) (4B-007, 4B-008, 8B-004, Sachen) (Unl).gbc",O,MBC1,MBC1,3213876088517980551083924184682325205044405987565585670602752,0,0x0,0x800000000000000000000000000000000000000000000000000000,False,False,False,False,Malibu,True,None,False,136,Non-Japan (0xef),True
Tetris Plus (Japan) (SGB Enhanced).gb,TETRIS PLUS,MBC1+RAM+Battery,MBC1,16,1,0x800,0x40000,True,False,False,False,"UNKNOWN(b'0A',0A)",False,None,True,0,Japan,True
"Asteroids (USA, Europe).gb",ASTEROIDS,ROM ONLY,ROM ONLY,2,0,0x0,0x8000,False,False,False,False,Accolade,True,None,False,0,Non-Japan (0x1),False
Thunderbirds (Japan).gb,THUNDERBIRDS,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,ITC Entertainment,True,None,False,0,Japan,False
Kawa no Nushi Tsuri 3 (Japan) (SGB Enhanced).gb,KAWANUSHI3      ,MBC1+RAM+Battery,MBC1,32,1,0x800,0x80000,True,False,False,False,Pack In Soft,False,None,True,0,Japan,False
Micro Machines 1 and 2 - Twin Turbo (USA).gbc,MICRO MACHAT8E,MBC5,MBC5,128,0,0x0,0x200000,False,False,False,False,THQ,False,CGB Only,False,0,Non-Japan (0x1),False
Rayman (USA).gbc,RAYMANAYQE,MBC5,MBC5,256,0,0x0,0x400000,False,False,False,False,UbiSoft,False,CGB Only,False,0,Non-Japan (0x1),False
Genjin Collection (Japan) (SGB Enhanced).gb,GENCOL,MBC1,MBC1,64,0,0x0,0x100000,False,False,False,False,Hudson Soft,False,None,True,0,Japan,False
Grander Musashi RV (Japan) (SGB Enhanced).gb,GURANDERMUSASHI,MBC1+RAM+Battery,MBC1,32,1,0x800,0x80000,True,False,False,False,"UNKNOWN(b'B2',B2)",False,None,True,0,Japan,True
Indiana Jones and the Infernal Machine (USA).gbc,INDIANA JONBIJE,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,THQ,False,CGB Only,False,0,Non-Japan (0x1),False
Tom and Jerry in - Mouse Attacks! (USA).gbc,MOUSEATTACKBTQE,MBC5,MBC5,128,0,0x0,0x200000,False,False,False,False,"UNKNOWN(b'5L',5L)",False,CGB Only,False,0,Non-Japan (0x1),True
