Filename,Title,Cart Type,Mapper Type,ROM Banks,RAM Banks,RAM Size,ROM Size,CGB Functionality,SGB Functionality,Mask ROM Ver,Region
Mickey Mouse (Europe).gb,MICKEY MOUSE,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Pokemon - Blaue Edition (Germany) (SGB Enhanced).gb,POKEMON BLUE,MBC5+RAM+BATTERY,MBC5,64,4,0x4000,0x100000,None,Yes,0,Non-Japan (0x1)
King of the Zoo (Europe).gb,KINGOFTHEZOO,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Japan
Tiny Toon Adventures - Wacky Sports (Europe).gb,TINY TOON WACKY,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Blades of Steel (Europe).gb,BLADES OF STEEL,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Toy Story (Europe) (SGB Enhanced).gb,TOY STORY,MBC1,MBC1,32,0,0x0,0x80000,None,Yes,0,Non-Japan (0x1)
Pop Up (Europe).gb,POP UP,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Non-Japan (0x1)
"Legend of Prince Valiant, The (Europe) (En,Fr,De).gb",PRINCE VALIANT,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Boulder Dash (Europe).gb,BOULDER DASH,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Non-Japan (0x1)
Pierre le Chef Is... Out to Lunch (Europe).gb,OUT TO LUNCH,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Teenage Mutant Hero Turtles - Fall of the Foot Clan (Europe).gb,TMHT FOOT CLAN,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Nemesis II - The Return of the Hero (Europe).gb,NEMESIS 2 HERO,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Non-Japan (0x1)
"Little Mermaid, The (Europe).gb",LITTLE MERMAID,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Max (Europe).gb,MAX,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Non-Japan (0x1)
Pang (Europe).gb,PANG,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Who Framed Roger Rabbit (Spain).gb,ROGER RABBIT,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
"Tesserae (Europe) (En,Fr,De,Es,It).gb",TESSERAE,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Non-Japan (0x1)
Castelian (Europe).gb,CASTELIAN,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Non-Japan (0x1)
"Prince of Persia (Europe) (En,Fr,De,Es,It).gb",PRINCE OF PERSIA,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Mystical Ninja Starring Goemon (Europe) (SGB Enhanced).gb,MYSTICAL NINJA,MBC1,MBC1,16,0,0x0,0x40000,None,Yes,0,Non-Japan (0x1)
Garfield Labyrinth (Europe).gb,GARFIELD,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
DragonHeart (France).gb,DRAGONHEART,MBC1,MBC1,32,0,0x0,0x80000,None,No,0,Non-Japan (0x1)
Super Battletank (Europe).gb,SUPER BATTLETANK,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Non-Japan (0x1)
Spot (Europe).gb,SPOT,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Non-Japan (0x1)
