Filename,Title,Cart Type,Mapper Type,ROM Banks,RAM Banks,RAM Size,ROM Size,CGB Functionality,SGB Functionality,Mask ROM Ver,Region
Pro Soccer (Japan).gb,PRO SOCCER,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Purikura Pocket 3 - Talent Debut Daisakusen (Japan) (SGB Enhanced).gb,PURIKURAPOCKET3,MBC5+RAM+BATTERY,MBC5,64,1,0x800,0x100000,None,Yes,0,Japan
Doraemon - Taiketsu HimitsuDougu!! (Japan).gb,DORAEMON,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Mikeneko Holmes no Kishidou (Japan).gb,MIKENEKO HOLMES,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Trump Boy (Japan).gb, - TRUMP  BOY - ,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Japan
Keitai Keiba Eight Special (Japan).gb,KEITAI KEIBA 8,MBC1+RAM+BATTERY,MBC1,8,1,0x800,0x20000,None,No,0,Japan
Puzzle Bobble GB (Japan).gb,BUST A MOVE 2   ,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Dungeon Land (Japan).gb,DUNGEONLAND,MBC1+RAM+BATTERY,MBC1,8,1,0x800,0x20000,None,No,0,Japan
Chiki Chiki Machine Mou Race (Japan).gb,CHIKI RACE GB,MBC2+BATTERY,MBC2,8,1,0x100,0x20000,None,No,0,Japan
Goukaku Boy Series - Z Kai Kyuukyoku no Eitango 1500 (Japan).gb,ZETAN 1500,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Japan
Pocket Kanjirou (Japan) (SGB Enhanced).gb,KANJIRO         ,MBC1+RAM+BATTERY,MBC1,32,1,0x800,0x80000,None,Yes,0,Japan
Milon no Meikyuu Kumikyoku (Japan).gb,MILON CASTLE,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Teke Teke! Asmik-kun World (Japan).gb,DMG-ASJ,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Japan
SD Gundam Gaiden - Lacroan' Heroes (Japan).gb,GB LACROANHERO 1,MBC2+BATTERY,MBC2,8,1,0x100,0x20000,None,No,0,Japan
World Bowling (Japan).gb,WORLD BOWLING,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Japan
Soreyuke!! Kid (Japan).gb,GO! GO! KID,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Goukaku Boy Series - Z Kai (Reibun de Oboeru) Chuugaku Eitango 1132 (Japan).gb,ZCHUGAKUEITANGO,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Japan
Tokoro's Mahjong Jr. (Japan) (SGB Enhanced).gb,TOKORO JR,MBC1+RAM,MBC1,16,1,0x800,0x40000,None,Yes,0,Japan
Knight Quest (Japan).gb,KNIGHT QUEST,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Nekketsu Kouha Kunio-kun - Bangai Rantou Hen (Japan).gb,KUNIO,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
BattleCity (Japan).gb,BATTLECITY,ROM ONLY (0x0),ROM ONLY,2,0,0x0,0x8000,None,No,0,Japan
"Kick Boxing, The (Japan).gb",THE KICK BOXING ,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Japan
Goukaku Boy Series - Yamakawa Ichimonittou - Sekaishi B Yougo Mondaishuu (Japan).gb,YAKA SEKAISHI GB,MBC1,MBC1,32,0,0x0,0x80000,None,No,0,Japan
Taiyou no Yuusha - Fighbird GB (Japan).gb,  FIGHBIRD  GB  ,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Street Fighter II (Japan) (SGB Enhanced).gb,STREET FIGHTER 2,MBC1,MBC1,32,0,0x0,0x80000,None,Yes,0,Japan
Yu Yu Hakusho (Japan).gb,YUUYUU-1,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Japan
J.League Fighting Soccer - The King of Ace Strikers (Japan).gb,FIGHTING SOCCER,MBC1+RAM+BATTERY,MBC1,8,1,0x800,0x20000,None,No,0,Japan
Ultima - Ushinawareta Runes II (Japan).gb,RUNES OF VIRTUE2,MBC2+BATTERY,MBC2,16,1,0x100,0x40000,None,No,0,Japan
Shougi (Japan).gb,SHOUGI,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Ninku Dai-2-dan - Ninku Sensou Hen (Japan) (SGB Enhanced).gb,NINKU 2,MBC1,MBC1,32,0,0x0,0x80000,None,Yes,0,Japan
Pachinko Time (Japan).gb,PACHINKO TIME,MBC1,MBC1,4,0,0x0,0x10000,None,No,0,Japan
Monster Maker (Japan).gb,MONSTER MAKER J,MBC2+BATTERY,MBC2,8,1,0x100,0x20000,None,No,0,Japan
Ray-Thunder (Japan).gb,RAY THUNDER,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Battle of Kingdom (Japan).gb,BATTLE OFKINGDOM,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Mickey Mouse II (Japan).gb,MICKEY MOUSE 2,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Nemesis (Japan).gb,NEMESIS,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Undercover Cops Gaiden - Hakaishin Garumaa (Japan).gb,UNDER COVER COPS,MBC1,MBC1,16,0,0x0,0x40000,None,No,0,Japan
Crayon Shin-chan - Ora no Gokigen Collection (Japan) (SGB Enhanced).gb,GB CREYON 5,MBC1,MBC1,16,0,0x0,0x40000,None,Yes,0,Japan
Momotarou Collection 2 (Japan) (SGB Enhanced).gb,MOMOTARODENGEKI2,MBC1,MBC1,32,0,0x0,0x80000,None,Yes,0,Japan
Tom to Jerry (Japan).gb,TOM AND JERRY   ,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
Rubble Saver (Japan).gb,RUBBLESA,MBC1,MBC1,8,0,0x0,0x20000,None,No,0,Japan
